Quarter,Department,Location,Category,Budgeted_Amount,Actual_Spending
Q1 2024,Customer Service,Miami,Marketing,632613,671007
Q1 2024,Customer Service,Miami,Consulting,871261,703351
Q1 2024,Customer Service,Miami,Maintenance,269508,914257
Q1 2024,Customer Service,Miami,Software Licenses,392011,652431
Q1 2024,Customer Service,Miami,Healthcare,429565,684365
Q1 2024,Customer Service,Miami,Security,657051,868395
Q1 2024,Customer Service,Miami,Catering,783259,905511
Q1 2024,Customer Service,Miami,Transportation,620886,57595
Q1 2024,Customer Service,Miami,Legal Fees,722827,688493
Q1 2024,Customer Service,Denver,Salaries,177968,1085455
Q1 2024,Customer Service,Denver,Office Supplies,58062,289515
Q1 2024,Customer Service,Denver,Travel,229338,270953
Q1 2024,Customer Service,Denver,Training,736122,301174
Q1 2024,Customer Service,Denver,Equipment,670221,382410
Q1 2024,Customer Service,Denver,Utilities,228909,644141
Q1 2024,Customer Service,Denver,Miscellaneous,507995,882250
Q1 2024,Customer Service,Denver,Marketing,89302,820027
Q1 2024,Customer Service,Denver,Consulting,589216,638900
Q1 2024,Customer Service,Denver,Maintenance,739591,302135
Q1 2024,Customer Service,Denver,Software Licenses,566635,186325
Q1 2024,Customer Service,Denver,Healthcare,528409,1061829
Q1 2024,Customer Service,Denver,Security,84793,967794
Q1 2024,Customer Service,Denver,Catering,553452,993100
Q1 2024,Customer Service,Denver,Transportation,288635,575081
Q1 2024,Customer Service,Denver,Legal Fees,584510,46506
Q1 2024,Procurement,New York,Salaries,679525,524124
Q1 2024,Procurement,New York,Office Supplies,529036,508997
Q1 2024,Procurement,New York,Travel,551841,575887
Q1 2024,Procurement,New York,Training,117547,644674
Q1 2024,Procurement,New York,Equipment,585668,61764
Q1 2024,Procurement,New York,Utilities,45331,360323
Q1 2024,Procurement,New York,Miscellaneous,752393,995527
Q1 2024,Procurement,New York,Marketing,645905,528889
Q1 2024,Procurement,New York,Consulting,826992,827376
Q1 2024,Procurement,New York,Maintenance,841297,666308
Q1 2024,Procurement,New York,Software Licenses,965190,870051
Q1 2024,Procurement,New York,Healthcare,601198,676021
Q1 2024,Procurement,New York,Security,398891,455733
Q1 2024,Procurement,New York,Catering,985210,19437
Q1 2024,Procurement,New York,Transportation,501201,625025
Q1 2024,Procurement,New York,Legal Fees,503237,1007225
Q1 2024,Procurement,San Francisco,Salaries,865418,319116
Q1 2024,Procurement,San Francisco,Office Supplies,732576,1074813
Q1 2024,Procurement,San Francisco,Travel,11068,497021
Q1 2024,Procurement,San Francisco,Training,579748,23919
Q1 2024,Procurement,San Francisco,Equipment,888198,702277
Q1 2024,Procurement,San Francisco,Utilities,571706,231682
Q1 2024,Procurement,San Francisco,Miscellaneous,289350,476913
Q1 2024,Procurement,San Francisco,Marketing,653468,1067577
Q1 2024,Procurement,San Francisco,Consulting,787719,29434
Q1 2024,Procurement,San Francisco,Maintenance,23337,404842
Q1 2024,Procurement,San Francisco,Software Licenses,152738,506141
Q1 2024,Procurement,San Francisco,Healthcare,248667,308719
Q1 2024,Procurement,San Francisco,Security,657521,114890
Q1 2024,Procurement,San Francisco,Catering,515241,1056174
Q1 2024,Procurement,San Francisco,Transportation,888099,509177
Q1 2024,Procurement,San Francisco,Legal Fees,353215,460119
Q1 2024,Procurement,Chicago,Salaries,99064,991806
Q1 2024,Procurement,Chicago,Office Supplies,957255,183282
Q1 2024,Procurement,Chicago,Travel,369655,372584
Q1 2024,Procurement,Chicago,Training,483605,365558
Q1 2024,Procurement,Chicago,Equipment,408974,1095331
Q1 2024,Procurement,Chicago,Utilities,459996,690024
Q1 2024,Procurement,Chicago,Miscellaneous,771974,908530
Q1 2024,Procurement,Chicago,Marketing,528466,1093726
Q1 2024,Procurement,Chicago,Consulting,557119,815156
Q1 2024,Procurement,Chicago,Maintenance,134248,869825
Q1 2024,Procurement,Chicago,Software Licenses,104306,904722
Q1 2024,Procurement,Chicago,Healthcare,165726,1056688
Q1 2024,Procurement,Chicago,Security,779580,232545
Q1 2024,Procurement,Chicago,Catering,945131,218322
Q1 2024,Procurement,Chicago,Transportation,708910,279136
Q1 2024,Procurement,Chicago,Legal Fees,375169,673610
Q1 2024,Procurement,Dallas,Salaries,701270,99791
Q1 2024,Procurement,Dallas,Office Supplies,91417,666455
Q1 2024,Procurement,Dallas,Travel,714611,1056150
Q1 2024,Procurement,Dallas,Training,429638,640195
Q1 2024,Procurement,Dallas,Equipment,12984,425302
Q1 2024,Procurement,Dallas,Utilities,90312,229352
Q1 2024,Procurement,Dallas,Miscellaneous,193458,597515
Q1 2024,Procurement,Dallas,Marketing,84291,88313
Q1 2024,Procurement,Dallas,Consulting,794567,752047
Q1 2024,Procurement,Dallas,Maintenance,525608,207724
Q1 2024,Procurement,Dallas,Software Licenses,488387,842488
Q1 2024,Procurement,Dallas,Healthcare,678044,623831
Q1 2024,Procurement,Dallas,Security,974417,247768
Q1 2024,Procurement,Dallas,Catering,876206,838947
Q1 2024,Procurement,Dallas,Transportation,416105,1056842
Q1 2024,Procurement,Dallas,Legal Fees,752209,804869
Q1 2024,Procurement,Boston,Salaries,361215,69545
Q1 2024,Procurement,Boston,Office Supplies,705259,945603
Q1 2024,Procurement,Boston,Travel,256083,528631
Q1 2024,Procurement,Boston,Training,929274,488643
Q1 2024,Procurement,Boston,Equipment,957825,1012787
Q1 2024,Procurement,Boston,Utilities,635151,597375
Q1 2024,Procurement,Boston,Miscellaneous,42777,605530
Q1 2024,Procurement,Boston,Marketing,47250,645638
Q1 2024,Procurement,Boston,Consulting,860466,477648
Q1 2024,Procurement,Boston,Maintenance,892372,15225
Q1 2024,Procurement,Boston,Software Licenses,303274,314425
Q1 2024,Procurement,Boston,Healthcare,476147,78147
Q1 2024,Procurement,Boston,Security,705706,516866
Q1 2024,Procurement,Boston,Catering,921041,1099906
Q1 2024,Procurement,Boston,Transportation,741122,683651
Q1 2024,Procurement,Boston,Legal Fees,16216,1031405
Q1 2024,Procurement,Los Angeles,Salaries,347293,950656
Q1 2024,Procurement,Los Angeles,Office Supplies,528297,328780
Q1 2024,Procurement,Los Angeles,Travel,877336,169335
Q1 2024,Procurement,Los Angeles,Training,685687,611632
Q1 2024,Procurement,Los Angeles,Equipment,146281,414237
Q1 2024,Procurement,Los Angeles,Utilities,704803,503070
Q1 2024,Procurement,Los Angeles,Miscellaneous,540317,597931
Q1 2024,Procurement,Los Angeles,Marketing,461829,969617
Q1 2024,Procurement,Los Angeles,Consulting,735803,30051
Q1 2024,Procurement,Los Angeles,Maintenance,189069,972188
Q1 2024,Procurement,Los Angeles,Software Licenses,365315,839852
Q1 2024,Procurement,Los Angeles,Healthcare,115456,989981
Q1 2024,Procurement,Los Angeles,Security,325703,399985
Q1 2024,Procurement,Los Angeles,Catering,852324,1062538
Q1 2024,Procurement,Los Angeles,Transportation,857841,530125
Q1 2024,Procurement,Los Angeles,Legal Fees,927139,323470
Q1 2024,Procurement,Seattle,Salaries,820497,879394
Q1 2024,Procurement,Seattle,Office Supplies,767759,920755
Q1 2024,Procurement,Seattle,Travel,383688,1019164
Q1 2024,Procurement,Seattle,Training,370484,490967
Q1 2024,Procurement,Seattle,Equipment,34783,279388
Q1 2024,Procurement,Seattle,Utilities,35152,303387
Q1 2024,Procurement,Seattle,Miscellaneous,584029,432400
Q1 2024,Procurement,Seattle,Marketing,894481,509890
Q1 2024,Procurement,Seattle,Consulting,445718,360173
Q1 2024,Procurement,Seattle,Maintenance,554380,440178
Q1 2024,Procurement,Seattle,Software Licenses,149725,698850
Q1 2024,Procurement,Seattle,Healthcare,492215,768912
Q1 2024,Procurement,Seattle,Security,755924,847541
Q1 2024,Procurement,Seattle,Catering,172541,44037
Q1 2024,Procurement,Seattle,Transportation,779424,914199
Q1 2024,Procurement,Seattle,Legal Fees,349627,560068
Q1 2024,Procurement,Austin,Salaries,909017,786145
Q1 2024,Procurement,Austin,Office Supplies,322898,1044437
Q1 2024,Procurement,Austin,Travel,686338,171432
Q1 2024,Procurement,Austin,Training,88592,878281
Q1 2024,Procurement,Austin,Equipment,357687,501023
Q1 2024,Procurement,Austin,Utilities,44169,1008602
Q1 2024,Procurement,Austin,Miscellaneous,442503,48967
Q1 2024,Procurement,Austin,Marketing,55745,696588
Q1 2024,Procurement,Austin,Consulting,635456,246950
Q1 2024,Procurement,Austin,Maintenance,639273,1066414
Q1 2024,Procurement,Austin,Software Licenses,792975,922575
Q1 2024,Procurement,Austin,Healthcare,712752,1036392
Q1 2024,Procurement,Austin,Security,22067,962531
Q1 2024,Procurement,Austin,Catering,52033,884313
Q1 2024,Procurement,Austin,Transportation,46256,548204
Q1 2024,Procurement,Austin,Legal Fees,746993,411485
Q1 2024,Procurement,Miami,Salaries,240455,268390
Q1 2024,Procurement,Miami,Office Supplies,503264,125609
Q1 2024,Procurement,Miami,Travel,201417,527051
Q1 2024,Procurement,Miami,Training,940695,371225
Q1 2024,Procurement,Miami,Equipment,87803,683422
Q1 2024,Procurement,Miami,Utilities,204814,11960
Q1 2024,Procurement,Miami,Miscellaneous,119843,365820
Q1 2024,Procurement,Miami,Marketing,480809,8343
Q1 2024,Procurement,Miami,Consulting,554280,894443
Q1 2024,Procurement,Miami,Maintenance,213603,1000466
Q1 2024,Procurement,Miami,Software Licenses,574091,397339
Q1 2024,Procurement,Miami,Healthcare,373119,839337
Q1 2024,Procurement,Miami,Security,719837,851062
Q1 2024,Procurement,Miami,Catering,145282,795843
Q1 2024,Procurement,Miami,Transportation,477545,276816
Q1 2024,Procurement,Miami,Legal Fees,27270,836687
Q1 2024,Procurement,Denver,Salaries,456224,822162
Q1 2024,Procurement,Denver,Office Supplies,923701,649994
Q1 2024,Procurement,Denver,Travel,770217,1007098
Q1 2024,Procurement,Denver,Training,532740,967020
Q1 2024,Procurement,Denver,Equipment,304630,1049791
Q1 2024,Procurement,Denver,Utilities,15859,601529
Q1 2024,Procurement,Denver,Miscellaneous,945740,636824
Q1 2024,Procurement,Denver,Marketing,950403,595867
Q1 2024,Procurement,Denver,Consulting,557371,1017446
Q1 2024,Procurement,Denver,Maintenance,855140,105248
Q1 2024,Procurement,Denver,Software Licenses,112462,272832
Q1 2024,Procurement,Denver,Healthcare,148735,194586
Q1 2024,Procurement,Denver,Security,880508,1046158
Q1 2024,Procurement,Denver,Catering,250737,1065311
Q1 2024,Procurement,Denver,Transportation,282197,343575
Q1 2024,Procurement,Denver,Legal Fees,143157,995033
Q1 2024,Logistics,New York,Salaries,949068,526408
Q1 2024,Logistics,New York,Office Supplies,352889,308976
Q1 2024,Logistics,New York,Travel,191167,602851
Q1 2024,Logistics,New York,Training,594805,936211
Q1 2024,Logistics,New York,Equipment,677513,545228
Q1 2024,Logistics,New York,Utilities,137319,86391
Q1 2024,Logistics,New York,Miscellaneous,929057,1033473
Q1 2024,Logistics,New York,Marketing,415027,180609
Q1 2024,Logistics,New York,Consulting,227453,359534
Q1 2024,Logistics,New York,Maintenance,924639,1029032
Q1 2024,Logistics,New York,Software Licenses,137645,485131
Q1 2024,Logistics,New York,Healthcare,513035,893366
Q1 2024,Logistics,New York,Security,604555,345550
Q1 2024,Logistics,New York,Catering,139261,634998
Q1 2024,Logistics,New York,Transportation,343221,841913
Q1 2024,Logistics,New York,Legal Fees,437862,625151
Q1 2024,Logistics,San Francisco,Salaries,339767,64274
Q1 2024,Logistics,San Francisco,Office Supplies,132004,685673
Q1 2024,Logistics,San Francisco,Travel,506187,375140
Q1 2024,Logistics,San Francisco,Training,54687,409425
Q1 2024,Logistics,San Francisco,Equipment,855744,1058905
Q1 2024,Logistics,San Francisco,Utilities,108615,549242
Q1 2024,Logistics,San Francisco,Miscellaneous,394120,1082258
Q1 2024,Logistics,San Francisco,Marketing,552852,607576
Q1 2024,Logistics,San Francisco,Consulting,816267,540789
Q1 2024,Logistics,San Francisco,Maintenance,980091,207153
Q1 2024,Logistics,San Francisco,Software Licenses,532985,746031
Q1 2024,Logistics,San Francisco,Healthcare,605453,906510
Q1 2024,Logistics,San Francisco,Security,730282,708652
Q1 2024,Logistics,San Francisco,Catering,935550,1052364
Q1 2024,Logistics,San Francisco,Transportation,583111,1085295
Q1 2024,Logistics,San Francisco,Legal Fees,992084,708327
Q1 2024,Logistics,Chicago,Salaries,971874,9813
Q1 2024,Logistics,Chicago,Office Supplies,534903,659734
Q1 2024,Logistics,Chicago,Travel,507554,1057214
Q1 2024,Logistics,Chicago,Training,923564,32168
Q1 2024,Logistics,Chicago,Equipment,917931,557316
Q1 2024,Logistics,Chicago,Utilities,601724,187645
Q1 2024,Logistics,Chicago,Miscellaneous,716879,408839
Q1 2024,Logistics,Chicago,Marketing,383706,679670
Q1 2024,Logistics,Chicago,Consulting,858549,130602
Q1 2024,Logistics,Chicago,Maintenance,979662,267379
Q1 2024,Logistics,Chicago,Software Licenses,560070,58755
Q1 2024,Logistics,Chicago,Healthcare,79533,322451
Q1 2024,Logistics,Chicago,Security,241011,51833
Q1 2024,Logistics,Chicago,Catering,190327,742249
Q1 2024,Logistics,Chicago,Transportation,506168,1036855
Q1 2024,Logistics,Chicago,Legal Fees,73684,48019
Q1 2024,Logistics,Dallas,Salaries,451134,690637
Q1 2024,Logistics,Dallas,Office Supplies,782453,483796
Q1 2024,Logistics,Dallas,Travel,740644,199100
Q1 2024,Logistics,Dallas,Training,866990,375570
Q1 2024,Logistics,Dallas,Equipment,217621,174077
Q1 2024,Logistics,Dallas,Utilities,236295,918429
Q1 2024,Logistics,Dallas,Miscellaneous,868854,1029552
Q1 2024,Logistics,Dallas,Marketing,776723,853967
Q1 2024,Logistics,Dallas,Consulting,782712,367340
Q1 2024,Logistics,Dallas,Maintenance,943760,17175
Q1 2024,Logistics,Dallas,Software Licenses,948509,134583
Q1 2024,Logistics,Dallas,Healthcare,794070,272126
Q1 2024,Logistics,Dallas,Security,824851,989835
Q1 2024,Logistics,Dallas,Catering,558665,547232
Q1 2024,Logistics,Dallas,Transportation,631532,121070
Q1 2024,Logistics,Dallas,Legal Fees,699476,658725
Q1 2024,Logistics,Boston,Salaries,955138,1027397
Q1 2024,Logistics,Boston,Office Supplies,738651,296743
Q1 2024,Logistics,Boston,Travel,548670,460793
Q1 2024,Logistics,Boston,Training,771663,35310
Q1 2024,Logistics,Boston,Equipment,712423,88719
Q1 2024,Logistics,Boston,Utilities,154466,733526
Q1 2024,Logistics,Boston,Miscellaneous,855221,422991
Q1 2024,Logistics,Boston,Marketing,235318,316186
Q1 2024,Logistics,Boston,Consulting,373778,1095922
Q1 2024,Logistics,Boston,Maintenance,132936,481065
Q1 2024,Logistics,Boston,Software Licenses,887004,792129
Q1 2024,Logistics,Boston,Healthcare,958726,132035
Q1 2024,Logistics,Boston,Security,932170,315484
Q1 2024,Logistics,Boston,Catering,648952,476931
Q1 2024,Logistics,Boston,Transportation,677315,245167
Q1 2024,Logistics,Boston,Legal Fees,373818,817262
Q1 2024,Logistics,Los Angeles,Salaries,104533,30670
Q1 2024,Logistics,Los Angeles,Office Supplies,869277,903797
Q1 2024,Logistics,Los Angeles,Travel,248997,320199
Q1 2024,Logistics,Los Angeles,Training,70590,879639
Q1 2024,Logistics,Los Angeles,Equipment,390919,458946
Q1 2024,Logistics,Los Angeles,Utilities,329615,944683
Q1 2024,Logistics,Los Angeles,Miscellaneous,504692,286618
Q1 2024,Logistics,Los Angeles,Marketing,482530,1041010
Q1 2024,Logistics,Los Angeles,Consulting,516795,303370
Q1 2024,Logistics,Los Angeles,Maintenance,306442,1098960
Q1 2024,Logistics,Los Angeles,Software Licenses,457324,598339
Q1 2024,Logistics,Los Angeles,Healthcare,245936,70153
Q1 2024,Logistics,Los Angeles,Security,574212,680850
Q1 2024,Logistics,Los Angeles,Catering,410925,296706
Q1 2024,Logistics,Los Angeles,Transportation,10726,693659
Q1 2024,Logistics,Los Angeles,Legal Fees,192896,482004
Q1 2024,Logistics,Seattle,Salaries,41542,871306
Q1 2024,Logistics,Seattle,Office Supplies,414461,1066391
Q1 2024,Logistics,Seattle,Travel,35753,983430
Q1 2024,Logistics,Seattle,Training,867220,1099225
Q1 2024,Logistics,Seattle,Equipment,284460,1065228
Q1 2024,Logistics,Seattle,Utilities,234979,580449
Q1 2024,Logistics,Seattle,Miscellaneous,609986,677418
Q1 2024,Logistics,Seattle,Marketing,279104,959812
Q1 2024,Logistics,Seattle,Consulting,31791,465744
Q1 2024,Logistics,Seattle,Maintenance,288360,1076786
Q1 2024,Logistics,Seattle,Software Licenses,950971,786134
Q1 2024,Logistics,Seattle,Healthcare,327571,559012
Q1 2024,Logistics,Seattle,Security,899902,899854
Q1 2024,Logistics,Seattle,Catering,980551,858063
Q1 2024,Logistics,Seattle,Transportation,598578,406280
Q1 2024,Logistics,Seattle,Legal Fees,572302,290982
Q1 2024,Logistics,Austin,Salaries,136150,236330
Q1 2024,Logistics,Austin,Office Supplies,996893,272080
Q1 2024,Logistics,Austin,Travel,51519,552519
Q1 2024,Logistics,Austin,Training,791474,1091666
Q1 2024,Logistics,Austin,Equipment,574340,985843
Q1 2024,Logistics,Austin,Utilities,15389,479551
Q1 2024,Logistics,Austin,Miscellaneous,359105,131174
Q1 2024,Logistics,Austin,Marketing,593399,1092123
Q1 2024,Logistics,Austin,Consulting,892490,725368
Q1 2024,Logistics,Austin,Maintenance,881147,654220
Q1 2024,Logistics,Austin,Software Licenses,838165,740235
Q1 2024,Logistics,Austin,Healthcare,822186,671047
Q1 2024,Logistics,Austin,Security,937128,525139
Q1 2024,Logistics,Austin,Catering,873318,291435
Q1 2024,Logistics,Austin,Transportation,158753,559968
Q1 2024,Logistics,Austin,Legal Fees,614812,374000
Q1 2024,Logistics,Miami,Salaries,344150,1096737
Q1 2024,Logistics,Miami,Office Supplies,812136,350629
Q1 2024,Logistics,Miami,Travel,498488,989460
Q1 2024,Logistics,Miami,Training,95913,516550
Q1 2024,Logistics,Miami,Equipment,619396,651806
Q1 2024,Logistics,Miami,Utilities,780091,107179
Q1 2024,Logistics,Miami,Miscellaneous,270637,837960
Q1 2024,Logistics,Miami,Marketing,70639,664851
Q1 2024,Logistics,Miami,Consulting,232452,10556
Q1 2024,Logistics,Miami,Maintenance,317527,648758
Q1 2024,Logistics,Miami,Software Licenses,659354,946824
Q1 2024,Logistics,Miami,Healthcare,725640,357380
Q1 2024,Logistics,Miami,Security,310378,17333
Q1 2024,Logistics,Miami,Catering,965795,522770
Q1 2024,Logistics,Miami,Transportation,653962,98217
Q1 2024,Logistics,Miami,Legal Fees,487084,723320
Q1 2024,Logistics,Denver,Salaries,530882,1089805
Q1 2024,Logistics,Denver,Office Supplies,762195,349292
Q1 2024,Logistics,Denver,Travel,270515,860297
Q1 2024,Logistics,Denver,Training,572603,880628
Q1 2024,Logistics,Denver,Equipment,739924,538742
Q1 2024,Logistics,Denver,Utilities,652539,332427
Q1 2024,Logistics,Denver,Miscellaneous,233520,145244
Q1 2024,Logistics,Denver,Marketing,604814,431698
Q1 2024,Logistics,Denver,Consulting,244459,892203
Q1 2024,Logistics,Denver,Maintenance,672986,1078671
Q1 2024,Logistics,Denver,Software Licenses,873437,460129
Q1 2024,Logistics,Denver,Healthcare,238330,50374
Q1 2024,Logistics,Denver,Security,106573,364011
Q1 2024,Logistics,Denver,Catering,925634,1079442
Q1 2024,Logistics,Denver,Transportation,138900,215021
Q1 2024,Logistics,Denver,Legal Fees,320658,140817
Q2 2024,HR,New York,Salaries,501364,30218
Q2 2024,HR,New York,Office Supplies,506740,574962
Q2 2024,HR,New York,Travel,236707,899390
Q2 2024,HR,New York,Training,709024,131338
Q2 2024,HR,New York,Equipment,505917,214499
Q2 2024,HR,New York,Utilities,674243,435410
Q2 2024,HR,New York,Miscellaneous,699419,505388
Q2 2024,HR,New York,Marketing,478294,574723
Q2 2024,HR,New York,Consulting,699292,258270
Q2 2024,HR,New York,Maintenance,524116,362781
Q2 2024,HR,New York,Software Licenses,455485,280348
Q2 2024,HR,New York,Healthcare,514066,1062532
Q2 2024,HR,New York,Security,863418,449634
Q2 2024,HR,New York,Catering,873391,50799
Q2 2024,HR,New York,Transportation,265179,407801
Q2 2024,HR,New York,Legal Fees,110767,180231
Q2 2024,HR,San Francisco,Salaries,434961,484823
Q2 2024,HR,San Francisco,Office Supplies,542529,954418
Q2 2024,HR,San Francisco,Travel,578263,33599
Q2 2024,HR,San Francisco,Training,155226,143028
Q2 2024,HR,San Francisco,Equipment,944129,303589
Q2 2024,HR,San Francisco,Utilities,963454,695098
Q2 2024,HR,San Francisco,Miscellaneous,492818,450998
Q2 2024,HR,San Francisco,Marketing,57396,340558
Q2 2024,HR,San Francisco,Consulting,493443,885601
Q2 2024,HR,San Francisco,Maintenance,119920,13220
Q2 2024,HR,San Francisco,Software Licenses,407547,281256
Q2 2024,HR,San Francisco,Healthcare,195999,808627
Q2 2024,HR,San Francisco,Security,611514,303245
Q2 2024,HR,San Francisco,Catering,610007,47772
Q2 2024,HR,San Francisco,Transportation,64014,645223
Q2 2024,HR,San Francisco,Legal Fees,564634,83304
Q2 2024,HR,Chicago,Salaries,595699,810086
Q2 2024,HR,Chicago,Office Supplies,186550,333724
Q2 2024,HR,Chicago,Travel,668614,369402
Q2 2024,HR,Chicago,Training,187806,510452
Q2 2024,HR,Chicago,Equipment,422837,831822
Q2 2024,HR,Chicago,Utilities,339585,597642
Q2 2024,HR,Chicago,Miscellaneous,47121,404637
Q2 2024,HR,Chicago,Marketing,737778,118581
Q2 2024,HR,Chicago,Consulting,323341,526061
Q2 2024,HR,Chicago,Maintenance,85577,846018
Q2 2024,HR,Chicago,Software Licenses,357778,1086473
Q2 2024,HR,Chicago,Healthcare,250106,122203
Q2 2024,HR,Chicago,Security,436647,550434
Q2 2024,HR,Chicago,Catering,493461,630721
Q2 2024,HR,Chicago,Transportation,887643,443169
Q2 2024,HR,Chicago,Legal Fees,661197,1008686
Q2 2024,HR,Dallas,Salaries,506200,1045700
Q2 2024,HR,Dallas,Office Supplies,484241,892379
Q2 2024,HR,Dallas,Travel,477379,844287
Q2 2024,HR,Dallas,Training,989736,609922
Q2 2024,HR,Dallas,Equipment,967498,939844
Q2 2024,HR,Dallas,Utilities,473295,753736
Q2 2024,HR,Dallas,Miscellaneous,406831,47704
Q2 2024,HR,Dallas,Marketing,526754,783684
Q2 2024,HR,Dallas,Consulting,818203,789831
Q2 2024,HR,Dallas,Maintenance,347030,740879
Q2 2024,HR,Dallas,Software Licenses,329055,712325
Q2 2024,HR,Dallas,Healthcare,754926,525106
Q2 2024,HR,Dallas,Security,414962,132730
Q2 2024,HR,Dallas,Catering,89422,333860
Q2 2024,HR,Dallas,Transportation,504100,583858
Q2 2024,HR,Dallas,Legal Fees,979243,824719
Q2 2024,HR,Boston,Salaries,336513,144815
Q2 2024,HR,Boston,Office Supplies,789325,497183
Q2 2024,HR,Boston,Travel,293717,103142
Q2 2024,HR,Boston,Training,622195,586545
Q2 2024,HR,Boston,Equipment,959378,798626
Q2 2024,HR,Boston,Utilities,733722,518712
Q2 2024,HR,Boston,Miscellaneous,887388,387604
Q2 2024,HR,Boston,Marketing,743820,635687
Q2 2024,HR,Boston,Consulting,783381,125021
Q2 2024,HR,Boston,Maintenance,906012,1020330
Q2 2024,HR,Boston,Software Licenses,427583,995470
Q2 2024,HR,Boston,Healthcare,153271,315656
Q2 2024,HR,Boston,Security,354548,785872
Q2 2024,HR,Boston,Catering,730688,514821
Q2 2024,HR,Boston,Transportation,845156,835473
Q2 2024,HR,Boston,Legal Fees,873565,548321
Q2 2024,HR,Los Angeles,Salaries,168477,166883
Q2 2024,HR,Los Angeles,Office Supplies,230304,795409
Q2 2024,HR,Los Angeles,Travel,541277,523899
Q2 2024,HR,Los Angeles,Training,816363,639594
Q2 2024,HR,Los Angeles,Equipment,796722,759906
Q2 2024,HR,Los Angeles,Utilities,956871,586439
Q2 2024,HR,Los Angeles,Miscellaneous,646424,879140
Q2 2024,HR,Los Angeles,Marketing,343022,576915
Q2 2024,HR,Los Angeles,Consulting,353621,69572
Q2 2024,HR,Los Angeles,Maintenance,473697,540699
Q2 2024,HR,Los Angeles,Software Licenses,732658,154154
Q2 2024,HR,Los Angeles,Healthcare,651587,828235
Q2 2024,HR,Los Angeles,Security,686493,737525
Q2 2024,HR,Los Angeles,Catering,768976,143212
Q2 2024,HR,Los Angeles,Transportation,630974,359573
Q2 2024,HR,Los Angeles,Legal Fees,945556,805397
Q2 2024,HR,Seattle,Salaries,370430,110246
Q2 2024,HR,Seattle,Office Supplies,479705,60589
Q2 2024,HR,Seattle,Travel,303619,708062
Q2 2024,HR,Seattle,Training,607954,32991
Q2 2024,HR,Seattle,Equipment,359766,584576
Q2 2024,HR,Seattle,Utilities,714016,705760
Q2 2024,HR,Seattle,Miscellaneous,660993,874689
Q2 2024,HR,Seattle,Marketing,411520,889708
Q2 2024,HR,Seattle,Consulting,108573,505503
Q2 2024,HR,Seattle,Maintenance,754180,931140
Q2 2024,HR,Seattle,Software Licenses,833978,538828
Q2 2024,HR,Seattle,Healthcare,270152,212765
Q2 2024,HR,Seattle,Security,311435,948559
Q2 2024,HR,Seattle,Catering,159477,550309
Q2 2024,HR,Seattle,Transportation,249141,64065
Q2 2024,HR,Seattle,Legal Fees,299530,525807
Q2 2024,HR,Austin,Salaries,616197,215314
Q2 2024,HR,Austin,Office Supplies,152899,132941
Q2 2024,HR,Austin,Travel,820472,579802
Q2 2024,HR,Austin,Training,585642,275879
Q2 2024,HR,Austin,Equipment,341687,906594
Q2 2024,HR,Austin,Utilities,543445,569123
Q2 2024,HR,Austin,Miscellaneous,560603,389631
Q2 2024,HR,Austin,Marketing,299076,421953
Q2 2024,HR,Austin,Consulting,415380,281484
Q2 2024,HR,Austin,Maintenance,670774,835934
Q2 2024,HR,Austin,Software Licenses,783957,732201
Q2 2024,HR,Austin,Healthcare,932831,955211
Q2 2024,HR,Austin,Security,901312,147093
Q2 2024,HR,Austin,Catering,133018,532175
Q2 2024,HR,Austin,Transportation,802125,427416
Q2 2024,HR,Austin,Legal Fees,290385,116110
Q2 2024,HR,Miami,Salaries,902626,148616
Q2 2024,HR,Miami,Office Supplies,96790,470111
Q2 2024,HR,Miami,Travel,934044,187389
Q2 2024,HR,Miami,Training,597543,99031
Q2 2024,HR,Miami,Equipment,721117,705025
Q2 2024,HR,Miami,Utilities,173275,467953
Q2 2024,HR,Miami,Miscellaneous,943585,733355
Q2 2024,HR,Miami,Marketing,718221,501442
Q2 2024,HR,Miami,Consulting,262439,538982
Q2 2024,HR,Miami,Maintenance,12350,554360
Q2 2024,HR,Miami,Software Licenses,711872,221920
Q2 2024,HR,Miami,Healthcare,319953,1083021
Q2 2024,HR,Miami,Security,102894,21979
Q2 2024,HR,Miami,Catering,360701,535779
Q2 2024,HR,Miami,Transportation,437048,654524
Q2 2024,HR,Miami,Legal Fees,946873,308255
Q2 2024,HR,Denver,Salaries,557016,812199
Q2 2024,HR,Denver,Office Supplies,280720,553566
Q2 2024,HR,Denver,Travel,423217,988928
Q2 2024,HR,Denver,Training,521841,303276
Q2 2024,HR,Denver,Equipment,84384,925370
Q2 2024,HR,Denver,Utilities,1390,46700
Q2 2024,HR,Denver,Miscellaneous,481751,221941
Q2 2024,HR,Denver,Marketing,832868,127661
Q2 2024,HR,Denver,Consulting,536857,566186
Q2 2024,HR,Denver,Maintenance,407245,533382
Q2 2024,HR,Denver,Software Licenses,23490,718740
Q2 2024,HR,Denver,Healthcare,833307,169973
Q2 2024,HR,Denver,Security,495080,827858
Q2 2024,HR,Denver,Catering,793299,545791
Q2 2024,HR,Denver,Transportation,606108,890925
Q2 2024,HR,Denver,Legal Fees,362659,455433
Q2 2024,IT,New York,Salaries,272265,715388
Q2 2024,IT,New York,Office Supplies,2539,536716
Q2 2024,IT,New York,Travel,411243,628743
